"subject","csv_name","IMC","loss_control","age","PNS","LOC","genre","genre_binaire","prop_correct","HIT","MISS","FA","CR","HIT_corr","FA_corr","dprime","c","HIT_outlier","FA_outlier","nb_timeout","RT_HITS","RT_MISS","RT_FA","RT_CR"
99,"349417_210416_124357.csv","1","0",32,55,35,"Homme",0,0.656,0.571,0.429,0.133,0.867,0.567,0.156,1.18,0.42,0.5,0.188,3,822.75,934.167,701,895.385
100,"349417_210416_125014.csv","1","1",28,37,33,"Femme",1,0.469,1,0,0.556,0.444,0.958,0.55,1.61,-0.93,0.688,0.75,12,1140.273,NA,1376,1492
101,"349417_210416_125544.csv","1","0",24,52,30,"Femme",1,0.531,0.556,0.444,0.2,0.8,0.55,0.219,0.9,0.33,0.312,0.25,8,969.4,1105,797,1218.75
102,"349417_210416_130820.csv","1","0",23,29,40,"Homme",0,0.25,0.5,0.5,0.167,0.833,0.5,0.214,0.79,0.4,0.188,0.688,20,665.333,769.667,1460,877
103,"349417_210416_132112.csv","1","1",30,26,32,"Homme",0,0.688,0.75,0.25,0.375,0.625,0.735,0.382,0.93,-0.16,0.75,0.375,0,485.667,447.25,490.833,606.8
104,"349417_210416_132453.csv","1","1",33,51,27,"Autre",0,0.219,1,0,0,1,0.833,0.083,2.35,0.21,0.125,0.688,25,1608.5,NA,NA,1802.2
105,"349417_210416_141657.csv","1","0",24,38,20,"Femme",1,0.75,0.688,0.312,0.188,0.812,0.676,0.206,1.28,0.18,0.688,0.188,0,919,1001.6,782.667,928.769
106,"349417_210416_143312.csv","1","0",20,62,32,"Femme",1,0.594,0.818,0.182,0.231,0.769,0.792,0.25,1.49,-0.07,0.562,0.375,8,1242.778,1625.5,1146.333,1368.6
107,"349417_210416_151501.csv","1","0",26,20,31,"Homme",0,0.562,0.125,0.875,0,1,0.147,0.029,0.84,1.47,0.125,0,0,1386,944.857,NA,740.375
108,"349417_210416_152802.csv","0","1",20,45,29,"Femme",1,0.438,0.615,0.385,0.4,0.6,0.607,0.409,0.5,-0.02,0.5,0.625,9,811.75,395.2,594.5,615.667
109,"349417_210416_153740.csv","1","0",25,50,31,"Autre",0,0.594,0.267,0.733,0.062,0.938,0.281,0.088,0.77,0.97,0.25,0.062,1,1049.5,929,918,924.2
110,"349417_210416_162817.csv","1","1",30,27,33,"Femme",1,0.156,0.75,0.25,0,1,0.7,0.167,1.49,0.22,0.188,0.875,26,1169.333,1784,NA,1406
111,"349417_210416_163641.csv","1","1",27,43,29,"Homme",0,0.688,0.714,0.286,0.143,0.857,0.7,0.167,1.49,0.22,0.625,0.25,4,1109.9,1127,1231.5,1164.083
112,"349417_210416_170854.csv","1","0",26,51,29,"Homme",0,0.688,0.75,0.25,0.333,0.667,0.735,0.344,1.03,-0.11,0.75,0.375,1,971,1442,1418.2,1275.9
113,"349417_210416_173446.csv","1","1",35,44,34,"Homme",0,0.25,0.625,0.375,0.667,0.333,0.611,0.65,-0.1,-0.33,0.312,0.812,15,1242.4,975.667,1141.833,649
114,"349417_210416_173859.csv","1","0",25,51,33,"Femme",1,0.781,0.75,0.25,0.133,0.867,0.735,0.156,1.64,0.19,0.75,0.188,1,908,941.75,1187,981
115,"349417_210416_193559.csv","1","1",27,56,36,"Femme",1,0.375,0.214,0.786,0.308,0.692,0.233,0.321,-0.26,0.6,0.188,0.438,5,975.667,935.091,863.25,1003.889
116,"349417_210416_203029.csv","1","0",24,54,23,"Homme",0,0.156,0.667,0.333,0,1,0.625,0.125,1.47,0.42,0.125,0.812,26,1662,951,NA,903.333
117,"349417_210416_203451.csv","1","0",28,43,34,"Homme",0,0.812,0.938,0.062,0.312,0.688,0.912,0.324,1.81,-0.45,0.938,0.312,0,838.333,799,920.4,862.727
118,"349417_210416_203958.csv","1","1",21,33,29,"Femme",1,0.719,0.692,0.308,0,1,0.679,0.033,2.3,0.69,0.562,0.125,5,1335.889,1284.5,NA,1318.786
119,"349417_210416_204346.csv","1","1",19,50,38,"Femme",1,0.594,0.615,0.385,0,1,0.607,0.042,2,0.73,0.5,0.312,8,1376.625,1579.8,NA,1253.727
120,"349417_210416_213046.csv","1","0",24,36,27,"Femme",1,0.75,0.562,0.438,0.062,0.938,0.559,0.088,1.5,0.6,0.562,0.062,0,673.111,807,589,777
121,"349417_210417_050321.csv","1","0",27,43,29,"Homme",0,0.312,0.875,0.125,0.5,0.5,0.833,0.5,0.97,-0.48,0.438,0.812,18,1020.429,1662,1291.333,1504.667
122,"349417_210417_065035.csv","1","1",27,44,28,"Femme",1,0.125,0.5,0.5,0,1,0.5,0.125,1.15,0.58,0.062,0.812,27,1781,1229,NA,1325.667
123,"349417_210417_075152.csv","1","1",21,50,47,"Femme",1,0.812,1,0,0.312,0.688,0.969,0.324,2.32,-0.7,0.938,0.312,1,1106.667,NA,1250.4,1190.182
124,"349417_210417_091457.csv","1","0",23,30,26,"Femme",1,0.469,0.727,0.273,0.125,0.875,0.708,0.167,1.52,0.21,0.5,0.562,13,1330.125,1361.667,779,1100.571
125,"349417_210417_091714.csv","1","0",21,33,33,"Femme",1,0.75,0.5,0.5,0,1,0.5,0.029,1.89,0.94,0.5,0,0,891.875,966.125,NA,941.062
126,"349417_210417_093703.csv","1","1",23,58,39,"Femme",1,0.062,1,0,0.5,0.5,0.75,0.5,0.67,-0.34,0.062,0.938,29,1354,NA,1525,1738
127,"349417_210417_102030.csv","1","0",24,52,37,"Femme",1,0.281,0.8,0.2,0,1,0.75,0.083,2.06,0.35,0.25,0.688,22,1631.5,1557,NA,1310.6
128,"349417_210417_114803.csv","1","1",20,37,26,"Homme",0,0.781,0.923,0.077,0.071,0.929,0.893,0.1,2.52,0.02,0.75,0.188,5,1198.583,1949,1332,1501.846
129,"349417_210417_144114.csv","1","1",26,54,34,"Femme",1,0.062,0.333,0.667,0,1,0.375,0.25,0.36,0.5,0.062,0.938,28,1220,1155,NA,1521
130,"349417_210417_164101.csv","1","1",29,52,31,"Femme",1,0.094,1,0,0,1,0.833,0.25,1.64,-0.15,0.125,0.938,29,1604.5,NA,NA,1304
131,"349417_210417_164613.csv","1","0",24,46,34,"Femme",1,0.188,0.333,0.667,0,1,0.357,0.1,0.92,0.82,0.125,0.75,22,1647,1629.5,NA,1158.25
132,"349417_210417_173536.csv","1","1",21,52,33,"Homme",0,0.156,0.8,0.2,0.75,0.25,0.75,0.7,0.15,-0.6,0.25,0.938,23,1545.5,792,1037.667,888
133,"349417_210417_173835.csv","1","0",21,31,32,"Femme",1,0.688,0.733,0.267,0.267,0.733,0.719,0.281,1.16,0,0.688,0.312,2,838.182,669.25,873.75,928.909
134,"349417_210417_180854.csv","1","1",22,51,33,"Femme",1,0.562,1,0,0.667,0.333,0.967,0.654,1.44,-1.11,0.875,0.75,6,772.286,NA,979.5,1198.75
135,"349417_210417_183251.csv","1","0",24,33,20,"Homme",0,0.281,0.364,0.636,0.167,0.833,0.375,0.214,0.47,0.56,0.25,0.688,15,1147.25,1525.143,1001,1153
136,"349417_210417_190521.csv","1","0",21,53,21,"Homme",0,0.125,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.125,0.875,24,1656,905,1270.5,1567
137,"349417_210417_193607.csv","1","1",20,49,29,"Homme",0,0.656,0.625,0.375,0.312,0.688,0.618,0.324,0.76,0.08,0.625,0.312,0,578.9,683.833,502.8,835.273
138,"349417_210417_194137.csv","1","0",24,46,37,"Femme",1,0.75,0.688,0.312,0.188,0.812,0.676,0.206,1.28,0.18,0.688,0.188,0,830.636,1006.2,812,868.769
139,"349417_210417_230340.csv","1","1",27,48,24,"Homme",0,0.688,0.875,0.125,0.5,0.5,0.853,0.5,1.05,-0.52,0.875,0.5,0,838.286,934.5,975.5,964.5
140,"349417_210417_232854.csv","1","0",26,57,35,"Homme",0,0.188,1,0,0,1,0.9,0.167,2.25,-0.16,0.25,0.875,26,958,NA,NA,1478.5
141,"349417_210418_095859.csv","1","1",21,50,18,"Femme",1,0.719,0.562,0.438,0.067,0.933,0.559,0.094,1.47,0.59,0.562,0.125,1,935.889,1141.714,806,957.929
142,"349417_210418_123258.csv","1","0",22,37,31,"Femme",1,0.281,0.429,0.571,0,1,0.438,0.071,1.31,0.81,0.188,0.625,19,1315,967.25,NA,1096.167
143,"349417_210418_123935.csv","1","1",25,41,27,"Homme",0,0.781,0.857,0.143,0.188,0.812,0.833,0.206,1.79,-0.07,0.75,0.188,2,841.333,849.5,1029,1040.538
144,"349417_210418_152914.csv","1","0",21,52,22,"Femme",1,0.281,0.375,0.625,0,1,0.389,0.071,1.18,0.87,0.188,0.625,18,1218.667,983.2,NA,1099.333
145,"349417_210418_161433.csv","1","0",26,57,27,"Femme",1,0.438,1,0,0.125,0.875,0.938,0.167,2.5,-0.28,0.438,0.562,17,1097.429,NA,1130,1079.857
146,"349417_210418_182053.csv","1","1",27,67,31,"Femme",1,0.719,0.625,0.375,0.071,0.929,0.618,0.1,1.58,0.49,0.625,0.188,2,897.8,1056.833,964,967.923
147,"349417_210418_190949.csv","1","1",26,34,27,"Femme",1,0.844,0.867,0.133,0.067,0.933,0.844,0.094,2.33,0.15,0.812,0.125,2,910.462,1430,1098,1136.286
148,"349417_210419_143555.csv","0","0",22,43,19,"Femme",1,0.062,NA,NA,0,1,0.5,0.167,0.97,0.48,0,0.875,30,NA,NA,NA,1674
149,"349417_210419_152032.csv","1","1",24,34,34,"Femme",1,0.031,NA,NA,0.667,0.333,0.5,0.625,-0.32,-0.16,0,0.938,29,NA,NA,1802.5,1723
150,"349417_210420_002133.csv","0","1",21,25,31,"Femme",1,0.312,0.75,0.25,0.333,0.667,0.722,0.357,0.96,-0.11,0.375,0.75,18,1021.667,1086,1423.5,1288
151,"349417_210420_072349.csv","1","1",20,42,40,"Femme",1,0.719,0.571,0.429,0.062,0.938,0.567,0.088,1.52,0.59,0.5,0.062,2,1085.75,1249.333,981,983.333
152,"349417_210420_082553.csv","1","0",19,29,26,"Femme",1,0.75,0.5,0.5,0,1,0.5,0.029,1.89,0.94,0.5,0,0,1413.25,1429.5,NA,1449.875
153,"349417_210420_085244.csv","1","1",21,45,37,"Femme",1,0.281,0.625,0.375,0,1,0.611,0.1,1.56,0.5,0.312,0.75,20,1389,1587.333,NA,1525
154,"349417_210420_090227.csv","1","0",20,46,46,"Homme",0,0.156,0.667,0.333,0.5,0.5,0.643,0.5,0.37,-0.18,0.25,0.938,24,1065.25,1229.5,756,907
155,"349417_210420_103542.csv","1","0",30,55,43,"Femme",1,0.5,0.9,0.1,0.125,0.875,0.864,0.167,2.06,-0.06,0.562,0.562,14,1188.778,1080,797,1178.143
156,"349417_210420_115434.csv","0","1",24,57,51,"Homme",0,0,NA,NA,NA,NA,0.5,0.5,0,0,0,1,32,NA,NA,NA,NA
157,"349417_210420_120801.csv","1","0",19,52,39,"Femme",1,0.75,0.8,0.2,0.2,0.8,0.781,0.219,1.55,0,0.75,0.25,2,1194.667,1003.667,1125.333,1210.917
158,"349417_210420_160850.csv","1","1",26,55,29,"Femme",1,0.531,0.133,0.867,0,1,0.156,0.031,0.85,1.44,0.125,0.062,2,932.5,1246.385,NA,926.4
159,"349417_210420_163422.csv","1","1",36,50,41,"Femme",1,0,NA,NA,NA,NA,0.5,0.5,0,0,0,1,32,NA,NA,NA,NA
160,"349417_210420_183228.csv","0","0",25,35,36,"Femme",1,0.188,0,1,0.143,0.857,0.1,0.188,-0.39,1.08,0,0.625,21,NA,1592.5,1856,1418.333
161,"349417_210421_153656.csv","1","0",23,41,38,"Femme",1,0.719,0.692,0.308,0.125,0.875,0.679,0.147,1.51,0.29,0.562,0.125,3,702.556,1133.25,1365.5,951.143
162,"349417_210422_101049.csv","1","1",24,40,24,"Femme",1,0.312,0.667,0.333,0.333,0.667,0.65,0.357,0.75,-0.01,0.375,0.75,17,1128.167,1175.333,1478.5,1680.25
163,"349417_210422_122524.csv","1","0",22,42,33,"Femme",1,0.5,0.375,0.625,0.375,0.625,0.382,0.382,0,0.3,0.375,0.375,0,1159,1312.1,1005,951.6
164,"349417_210423_104944.csv","1","0",22,44,29,"Femme",1,0.25,0.625,0.375,0.571,0.429,0.611,0.562,0.12,-0.22,0.312,0.812,17,664.6,922.667,595.5,865.667
165,"349417_210423_113210.csv","1","0",20,57,29,"Femme",1,0.844,0.867,0.133,0.067,0.933,0.844,0.094,2.33,0.15,0.812,0.125,2,823.077,990.5,1005,943.429
166,"349417_210423_140213.csv","1","1",19,38,29,"Femme",1,0.594,0.643,0.357,0.167,0.833,0.633,0.192,1.21,0.26,0.562,0.375,6,1161.222,1469,1518.5,1337
